"Datum";"Von";"bis";"MW";
21.01.2010;00:00;00:15;0;
21.01.2010;00:15;00:30;0;
21.01.2010;00:30;00:45;0;
21.01.2010;00:45;01:00;0;
21.01.2010;01:00;01:15;0;
21.01.2010;01:15;01:30;0;
21.01.2010;01:30;01:45;0;
21.01.2010;01:45;02:00;0;
21.01.2010;02:00;02:15;0;
21.01.2010;02:15;02:30;0;
21.01.2010;02:30;02:45;0;
21.01.2010;02:45;03:00;0;
21.01.2010;03:00;03:15;0;
21.01.2010;03:15;03:30;0;
21.01.2010;03:30;03:45;0;
21.01.2010;03:45;04:00;0;
21.01.2010;04:00;04:15;0;
21.01.2010;04:15;04:30;0;
21.01.2010;04:30;04:45;0;
21.01.2010;04:45;05:00;0;
21.01.2010;05:00;05:15;0;
21.01.2010;05:15;05:30;0;
21.01.2010;05:30;05:45;0;
21.01.2010;05:45;06:00;0;
21.01.2010;06:00;06:15;0;
21.01.2010;06:15;06:30;0;
21.01.2010;06:30;06:45;0;
21.01.2010;06:45;07:00;0;
21.01.2010;07:00;07:15;0;
21.01.2010;07:15;07:30;0;
21.01.2010;07:30;07:45;0;
21.01.2010;07:45;08:00;0;
21.01.2010;08:00;08:15;0;
21.01.2010;08:15;08:30;0;
21.01.2010;08:30;08:45;1;
21.01.2010;08:45;09:00;2;
21.01.2010;09:00;09:15;7;
21.01.2010;09:15;09:30;13;
21.01.2010;09:30;09:45;26;
21.01.2010;09:45;10:00;26;
21.01.2010;10:00;10:15;26;
21.01.2010;10:15;10:30;27;
21.01.2010;10:30;10:45;29;
21.01.2010;10:45;11:00;37;
21.01.2010;11:00;11:15;37;
21.01.2010;11:15;11:30;36;
21.01.2010;11:30;11:45;33;
21.01.2010;11:45;12:00;33;
21.01.2010;12:00;12:15;34;
21.01.2010;12:15;12:30;33;
21.01.2010;12:30;12:45;29;
21.01.2010;12:45;13:00;29;
21.01.2010;13:00;13:15;34;
21.01.2010;13:15;13:30;33;
21.01.2010;13:30;13:45;36;
21.01.2010;13:45;14:00;32;
21.01.2010;14:00;14:15;27;
21.01.2010;14:15;14:30;30;
21.01.2010;14:30;14:45;25;
21.01.2010;14:45;15:00;17;
21.01.2010;15:00;15:15;16;
21.01.2010;15:15;15:30;19;
21.01.2010;15:30;15:45;13;
21.01.2010;15:45;16:00;8;
21.01.2010;16:00;16:15;6;
21.01.2010;16:15;16:30;2;
21.01.2010;16:30;16:45;1;
21.01.2010;16:45;17:00;0;
21.01.2010;17:00;17:15;0;
21.01.2010;17:15;17:30;0;
21.01.2010;17:30;17:45;0;
21.01.2010;17:45;18:00;0;
21.01.2010;18:00;18:15;0;
21.01.2010;18:15;18:30;0;
21.01.2010;18:30;18:45;0;
21.01.2010;18:45;19:00;0;
21.01.2010;19:00;19:15;0;
21.01.2010;19:15;19:30;0;
21.01.2010;19:30;19:45;0;
21.01.2010;19:45;20:00;0;
21.01.2010;20:00;20:15;0;
21.01.2010;20:15;20:30;0;
21.01.2010;20:30;20:45;0;
21.01.2010;20:45;21:00;0;
21.01.2010;21:00;21:15;0;
21.01.2010;21:15;21:30;0;
21.01.2010;21:30;21:45;0;
21.01.2010;21:45;22:00;0;
21.01.2010;22:00;22:15;0;
21.01.2010;22:15;22:30;0;
21.01.2010;22:30;22:45;0;
21.01.2010;22:45;23:00;0;
21.01.2010;23:00;23:15;0;
21.01.2010;23:15;23:30;0;
21.01.2010;23:30;23:45;0;
21.01.2010;23:45;00:00;0;